Frequency (Hz),Antenna Factor (dB/m)
26500000000.0,36.8
26636363636.363636,36.82828282828282
26772727272.727272,36.85656565656566
26909090909.090908,36.88484848484848
27045454545.454544,36.91313131313131
27181818181.81818,36.941414141414135
27318181818.18182,36.96969696969697
27454545454.545456,36.997979797979795
27590909090.909092,37.02626262626262
27727272727.272728,37.054545454545455
27863636363.636364,37.08282828282828
28000000000.0,37.11111111111111
28136363636.363636,37.13939393939394
28272727272.727272,37.16767676767677
28409090909.090908,37.19595959595959
28545454545.454544,37.22424242424242
28681818181.818184,37.25252525252525
28818181818.18182,37.28080808080808
28954545454.545456,37.309090909090905
29090909090.909092,37.33737373737374
29227272727.272728,37.365656565656565
29363636363.636364,37.39393939393939
29500000000.0,37.42222222222222
29636363636.363636,37.45050505050505
29772727272.727272,37.47878787878788
29909090909.090908,37.5070707070707
30045454545.454544,37.535353535353536
30181818181.818184,37.56363636363636
30318181818.18182,37.59191919191919
30454545454.545456,37.620202020202015
30590909090.909092,37.64848484848485
30727272727.272728,37.676767676767675
30863636363.636364,37.7050505050505
31000000000.0,37.733333333333334
31136363636.363636,37.76161616161616
31272727272.727272,37.78989898989899
31409090909.09091,37.81818181818182
31545454545.454544,37.846464646464646
31681818181.818184,37.87474747474747
31818181818.18182,37.9030303030303
31954545454.545456,37.93131313131313
32090909090.909092,37.95959595959596
32227272727.272728,37.987878787878785
32363636363.636364,38.01616161616162
32500000000.0,38.044444444444444
32636363636.363636,38.07272727272727
32772727272.727272,38.1010101010101
32909090909.09091,38.12929292929293
33045454545.454544,38.157575757575756
33181818181.818184,38.18585858585858
33318181818.18182,38.214141414141416
33454545454.545456,38.24242424242424
33590909090.909092,38.27070707070707
33727272727.272728,38.2989898989899
33863636363.636364,38.32727272727273
34000000000.0,38.355555555555554
34136363636.363636,38.38383838383838
34272727272.727272,38.412121212121214
34409090909.09091,38.44040404040404
34545454545.454544,38.468686868686866
34681818181.818184,38.4969696969697
34818181818.181816,38.525252525252526
34954545454.545456,38.55353535353535
35090909090.90909,38.58181818181818
35227272727.27273,38.61010101010101
35363636363.63637,38.63838383838384
35500000000.0,38.666666666666664
35636363636.36364,38.6949494949495
35772727272.72727,38.723232323232324
35909090909.09091,38.75151515151515
36045454545.454544,38.779797979797976
36181818181.818184,38.80808080808081
36318181818.18182,38.836363636363636
36454545454.545456,38.86464646464646
36590909090.90909,38.892929292929296
36727272727.27273,38.92121212121212
36863636363.63637,38.94949494949495
37000000000.0,38.97777777777778
37136363636.36364,39.00606060606061
37272727272.72727,39.034343434343434
37409090909.09091,39.06262626262626
37545454545.454544,39.09090909090909
37681818181.818184,39.11919191919192
37818181818.18182,39.147474747474746
37954545454.545456,39.17575757575758
38090909090.90909,39.204040404040406
38227272727.27273,39.23232323232323
38363636363.63637,39.260606060606065
38500000000.0,39.28888888888889
38636363636.36364,39.31717171717172
38772727272.72727,39.345454545454544
38909090909.09091,39.37373737373738
39045454545.454544,39.4020202020202
39181818181.818184,39.43030303030303
39318181818.18182,39.45858585858586
39454545454.545456,39.48686868686869
39590909090.90909,39.515151515151516
39727272727.27273,39.54343434343434
39863636363.63637,39.571717171717175
40000000000.0,39.6
